Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Colorado Avalanche,10,8,2,0,2,1,.800,43,27,16
2,Tampa Bay Lightning,11,8,3,0,1,0,.727,36,27,9
3,Edmonton Oilers,12,8,4,0,1,1,.667,52,37,15
4,Carolina Hurricanes,13,7,6,0,1,0,.538,35,34,1
5,New York Rangers,13,7,6,0,1,2,.538,42,40,2
6,St. Louis Blues,12,6,6,0,1,1,.500,40,38,2
7,Calgary Flames,12,5,7,0,1,1,.417,35,39,-4
8,Florida Panthers,10,4,6,0,2,0,.400,23,32,-9
9,Boston Bruins,7,3,4,0,0,0,.429,20,24,-4
10,Los Angeles Kings,7,3,4,0,1,0,.429,17,27,-10
11,Toronto Maple Leafs,7,3,4,0,0,1,.429,24,23,1
12,Dallas Stars,7,3,4,0,0,1,.429,14,15,-1
13,Pittsburgh Penguins,7,3,4,0,1,1,.429,29,28,1
14,Minnesota Wild,6,2,4,0,0,0,.333,16,22,-6
15,Washington Capitals,6,2,4,0,0,2,.333,19,20,-1
16,Nashville Predators,4,0,4,0,0,1,.000,9,21,-12
,League Average,9.0,4.5,4.5,0.0,0.9,0.9,.500,28.4,28.4,0
