Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,G,PPG,SHOOTOUTS,W%,GDIFF,SOW%,PPW%
1,Florida Panthers,27.8,82,58,18,6,122,75.144,337,242,3,4,1.07,-0.08,4.11,2.95,64,262,24.43,53,259,79.54,12,8,10.1,10.8,3062,11.0,2515,91.304,5,579,117,7,70.73170731707317,58.20379965457686,42.857142857142854,24.427480916030532
2,Colorado Avalanche,28.2,82,56,19,7,119,73.326,308,232,4,2,0.91,-0.04,3.76,2.83,67,279,24.01,48,236,79.66,6,5,9.0,10.4,2874,10.7,2625,92.112,7,540,115,6,68.29268292682927,57.03703703703704,66.66666666666666,24.014336917562723
3,Carolina Hurricanes,28.3,82,54,20,8,116,71.407,277,200,1,2,0.88,-0.05,3.38,2.44,51,232,21.98,33,276,88.04,4,3,9.2,7.7,2798,9.9,2310,92.213,6,477,84,3,65.85365853658537,58.07127882599581,33.33333333333333,21.982758620689655
4,Toronto Maple Leafs,28.4,82,54,21,7,115,70.80099999999999,312,252,3,1,0.69,-0.06,3.8,3.07,63,231,27.27,42,234,82.05,13,4,8.6,8.5,2835,11.0,2511,90.9,7,564,105,4,65.85365853658537,55.319148936170215,75.0,27.27272727272727
5,Minnesota Wild,29.4,82,53,22,7,113,69.58899999999998,305,249,5,4,0.68,-0.02,3.72,3.04,53,258,20.54,63,264,76.14,2,5,10.8,10.8,2666,11.4,2577,91.203,3,554,116,9,64.63414634146342,55.054151624548744,55.55555555555556,20.54263565891473
6,Calgary Flames,28.8,82,50,21,11,111,68.37700000000001,291,206,2,2,0.99,-0.05,3.55,2.51,54,236,22.88,42,250,83.2,7,3,9.1,8.6,2908,10.0,2374,92.213,11,497,96,4,60.97560975609756,58.55130784708249,50.0,22.88135593220339
7,Tampa Bay Lightning,29.6,82,51,23,8,110,67.77100000000002,285,228,2,5,0.64,-0.02,3.48,2.78,62,259,23.94,49,252,80.56,7,5,11.0,11.4,2535,11.2,2441,91.607,3,513,111,7,62.19512195121951,55.55555555555556,28.57142857142857,23.93822393822394
8,New York Rangers,26.7,82,52,24,6,110,67.77100000000002,250,204,4,3,0.54,-0.03,3.05,2.49,55,218,25.23,40,226,82.3,8,2,8.2,8.2,2392,10.5,2528,92.819,9,454,95,7,63.41463414634146,55.06607929515418,57.14285714285714,25.229357798165136
9,St. Louis Blues,28.8,82,49,22,11,109,67.165,309,239,2,3,0.79,-0.05,3.77,2.91,65,241,26.97,35,220,84.09,9,5,7.5,7.9,2492,12.4,2591,91.708,4,548,100,5,59.756097560975604,56.38686131386861,40.0,26.970954356846473
10,Boston Bruins,28.5,82,51,26,5,107,65.852,253,218,2,2,0.38,-0.05,3.09,2.66,50,236,21.19,49,262,81.3,5,6,9.9,9.4,2962,8.5,2354,91.607,4,471,99,4,62.19512195121951,53.71549893842887,50.0,21.1864406779661
11,Edmonton Oilers,29.1,82,49,27,6,104,64.03399999999999,285,251,5,1,0.46,0.0,3.48,3.06,61,235,25.96,52,252,79.37,11,6,8.1,7.1,2790,10.2,2647,91.405,4,536,113,6,59.756097560975604,53.17164179104478,83.33333333333334,25.957446808510635
12,Pittsburgh Penguins,29.7,82,46,25,11,103,63.428,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,92.314,7,491,83,10,56.09756097560976,54.78615071283096,30.0,20.161290322580644
13,Washington Capitals,29.5,82,44,26,12,100,61.61,270,242,5,3,0.35,-0.02,3.29,2.95,48,256,18.75,44,225,80.44,8,9,7.7,8.8,2577,10.5,2378,90.698,8,512,92,8,53.65853658536586,52.734375,62.5,18.75
14,Los Angeles Kings,28.0,82,44,27,11,99,61.004,235,232,4,4,0.03,-0.01,2.87,2.83,40,248,16.13,53,227,76.65,11,9,7.7,8.3,2865,8.2,2341,91.001,5,467,93,8,53.65853658536586,50.32119914346895,50.0,16.129032258064516
15,Dallas Stars,29.4,82,46,30,6,98,60.398,233,244,5,2,-0.09,0.01,2.84,2.98,54,241,22.41,46,219,79.0,7,5,6.7,7.5,2486,9.4,2545,91.304,2,477,100,7,56.09756097560976,48.84696016771489,71.42857142857143,22.40663900414938
16,Nashville Predators,27.7,82,45,30,7,97,59.691,262,250,4,2,0.19,0.02,3.2,3.05,63,258,24.42,59,284,79.23,2,5,12.6,11.9,2439,10.7,2646,91.506,4,512,122,6,54.87804878048781,51.171875,66.66666666666666,24.418604651162788
17,Vegas Golden Knights,28.5,82,43,31,8,94,57.873,262,244,4,4,0.21,-0.01,3.2,2.98,39,212,18.4,47,208,77.4,10,7,7.6,7.7,2830,9.3,2458,91.001,3,506,86,8,52.4390243902439,51.77865612648221,50.0,18.39622641509434
18,Vancouver Canucks,27.7,82,40,30,12,92,56.66100000000001,246,231,3,5,0.16,0.0,3.0,2.82,58,247,23.48,58,231,74.89,5,6,8.0,8.6,2622,9.4,2612,92.112,1,477,116,8,48.78048780487805,51.57232704402516,37.5,23.481781376518217
19,Winnipeg Jets,28.2,82,39,32,11,89,54.843,250,253,2,4,-0.04,0.02,3.05,3.09,52,247,21.05,58,232,75.0,9,8,8.8,9.5,2645,9.5,2721,91.607,5,503,110,6,47.5609756097561,49.70178926441352,33.33333333333333,21.052631578947366
20,New York Islanders,30.1,82,37,35,10,84,51.712,229,231,2,6,-0.09,-0.02,2.79,2.82,46,208,22.12,34,215,84.19,5,7,8.9,8.4,2367,9.7,2669,92.213,9,460,80,8,45.1219512195122,49.78260869565217,25.0,22.115384615384613
21,Columbus Blue Jackets,26.6,82,37,38,7,81,49.894,258,297,4,3,-0.44,0.02,3.15,3.62,41,220,18.64,51,238,78.57,7,6,7.7,7.2,2463,10.5,2887,90.597,2,555,92,7,45.1219512195122,46.48648648648649,57.14285714285714,18.636363636363637
22,San Jose Sharks,29.0,82,32,37,13,77,47.47,211,261,3,3,-0.58,0.03,2.57,3.18,41,216,18.98,33,223,85.2,4,11,8.8,8.6,2400,8.8,2622,90.9,3,472,74,6,39.02439024390244,44.70338983050847,50.0,18.98148148148148
23,Anaheim Ducks,27.9,82,31,37,14,76,46.763000000000005,228,266,4,5,-0.45,0.03,2.78,3.24,48,219,21.92,43,224,80.8,6,4,9.3,9.8,2393,9.5,2725,91.102,4,494,91,9,37.80487804878049,46.15384615384615,44.44444444444444,21.91780821917808
24,Buffalo Sabres,27.5,82,32,39,11,75,46.157,229,287,3,3,-0.69,0.02,2.79,3.5,47,222,21.17,50,212,76.42,6,6,8.1,7.9,2451,9.3,2702,90.294,1,516,97,6,39.02439024390244,44.37984496124031,50.0,21.17117117117117
25,Detroit Red Wings,26.9,82,32,40,10,74,45.551,227,310,3,2,-0.95,0.06,2.77,3.78,37,227,16.3,59,225,73.78,4,10,8.9,8.5,2414,9.4,2761,89.688,4,537,96,5,39.02439024390244,42.27188081936685,60.0,16.299559471365637
26,Ottawa Senators,26.6,82,33,42,7,73,44.945,224,264,3,2,-0.44,0.03,2.73,3.22,47,243,19.34,49,249,80.32,9,4,10.0,10.2,2463,9.1,2740,91.304,2,488,96,5,40.243902439024396,45.90163934426229,60.0,19.34156378600823
27,Chicago Blackhawks,28.0,82,28,42,12,68,41.915,213,289,6,2,-0.83,0.05,2.6,3.52,47,245,19.18,53,223,76.23,2,6,7.9,8.7,2362,9.0,2703,90.193,4,502,100,8,34.146341463414636,42.430278884462155,75.0,19.183673469387756
28,New Jersey Devils,25.8,82,27,46,9,63,38.784,245,302,3,5,-0.68,0.04,2.99,3.68,35,225,15.56,42,212,80.19,6,14,8.1,8.4,2562,9.6,2540,88.981,2,547,77,8,32.926829268292686,44.78976234003657,37.5,15.555555555555555
29,Philadelphia Flyers,28.3,82,25,46,11,61,37.572,210,294,1,4,-1.0,0.06,2.56,3.59,30,239,12.55,57,235,75.74,6,11,9.0,9.0,2539,8.3,2785,90.294,1,504,87,5,30.48780487804878,41.66666666666667,20.0,12.552301255230125
30,Seattle Kraken,28.7,82,27,49,6,60,36.966,213,284,3,1,-0.8,0.04,2.6,3.46,32,220,14.55,56,223,74.89,8,7,8.5,8.0,2380,8.9,2367,88.88,3,497,88,4,32.926829268292686,42.857142857142854,75.0,14.545454545454545
31,Arizona Coyotes,28.0,82,25,50,7,57,35.148,206,309,1,4,-1.23,0.06,2.51,3.77,28,202,13.86,64,256,75.0,3,4,10.2,8.2,2121,9.7,2910,90.294,1,515,92,5,30.48780487804878,40.0,20.0,13.861386138613863
32,Montreal Canadiens,27.8,82,22,49,11,55,33.835,218,317,3,2,-1.15,0.05,2.66,3.87,34,248,13.71,67,274,75.55,6,12,10.2,9.0,2442,8.9,2823,89.688,3,535,101,5,26.82926829268293,40.74766355140187,60.0,13.709677419354838
